,day,hour,value
0,1,0,150
1,1,1,56
2,1,2,54
3,1,3,35
4,1,4,37
5,1,5,61
6,1,6,134
7,1,7,213
8,1,8,277
9,1,9,272
10,1,10,237
11,1,11,232
12,1,12,262
13,1,13,244
14,1,14,228
15,1,15,272
16,1,16,249
17,1,17,279
18,1,18,389
19,1,19,339
20,1,20,315
21,1,21,307
22,1,22,286
23,1,23,196
24,2,0,158
25,2,1,84
26,2,2,35
27,2,3,38
28,2,4,26
29,2,5,51
30,2,6,130
31,2,7,242
32,2,8,312
33,2,9,332
34,2,10,294
35,2,11,281
36,2,12,314
37,2,13,295
38,2,14,269
39,2,15,309
40,2,16,253
41,2,17,297
42,2,18,393
43,2,19,383
44,2,20,377
45,2,21,336
46,2,22,345
47,2,23,265
48,3,0,178
49,3,1,97
50,3,2,56
51,3,3,34
52,3,4,47
53,3,5,49
54,3,6,152
55,3,7,256
56,3,8,291
57,3,9,312
58,3,10,295
59,3,11,285
60,3,12,293
61,3,13,274
62,3,14,292
63,3,15,261
64,3,16,233
65,3,17,287
66,3,18,372
67,3,19,414
68,3,20,334
69,3,21,373
70,3,22,335
71,3,23,278
72,4,0,196
73,4,1,102
74,4,2,56
75,4,3,39
76,4,4,39
77,4,5,49
78,4,6,136
79,4,7,240
80,4,8,332
81,4,9,289
82,4,10,259
83,4,11,282
84,4,12,265
85,4,13,291
86,4,14,268
87,4,15,298
88,4,16,229
89,4,17,264
90,4,18,369
91,4,19,394
92,4,20,384
93,4,21,357
94,4,22,372
95,4,23,352
96,5,0,303
97,5,1,178
98,5,2,95
99,5,3,81
100,5,4,72
101,5,5,59
102,5,6,140
103,5,7,233
104,5,8,305
105,5,9,276
106,5,10,270
107,5,11,255
108,5,12,323
109,5,13,278
110,5,14,282
111,5,15,274
112,5,16,272
113,5,17,284
114,5,18,346
115,5,19,409
116,5,20,379
117,5,21,337
118,5,22,356
119,5,23,315
120,6,0,387
121,6,1,342
122,6,2,270
123,6,3,192
124,6,4,120
125,6,5,70
126,6,6,63
127,6,7,83
128,6,8,157
129,6,9,211
130,6,10,286
131,6,11,275
132,6,12,284
133,6,13,301
134,6,14,295
135,6,15,305
136,6,16,275
137,6,17,314
138,6,18,350
139,6,19,382
140,6,20,301
141,6,21,332
142,6,22,354
143,6,23,373
144,7,0,324
145,7,1,323
146,7,2,255
147,7,3,211
148,7,4,145
149,7,5,62
150,7,6,58
151,7,7,74
152,7,8,112
153,7,9,174
154,7,10,226
155,7,11,280
156,7,12,282
157,7,13,267
158,7,14,292
159,7,15,282
160,7,16,259
161,7,17,273
162,7,18,313
163,7,19,309
164,7,20,271
165,7,21,268
166,7,22,257
167,7,23,153
