day	hour	value
1	0	150
1	1	56
1	2	54
1	3	35
1	4	37
1	5	61
1	6	134
1	7	213
1	8	277
1	9	272
1	10	237
1	11	232
1	12	262
1	13	244
1	14	228
1	15	272
1	16	249
1	17	279
1	18	389
1	19	339
1	20	315
1	21	307
1	22	286
1	23	196
2	0	158
2	1	84
2	2	35
2	3	38
2	4	26
2	5	51
2	6	130
2	7	242
2	8	312
2	9	332
2	10	294
2	11	281
2	12	314
2	13	295
2	14	269
2	15	309
2	16	253
2	17	297
2	18	393
2	19	383
2	20	377
2	21	336
2	22	345
2	23	265
3	0	178
3	1	97
3	2	56
3	3	34
3	4	47
3	5	49
3	6	152
3	7	256
3	8	291
3	9	312
3	10	295
3	11	285
3	12	293
3	13	274
3	14	292
3	15	261
3	16	233
3	17	287
3	18	372
3	19	414
3	20	334
3	21	373
3	22	335
3	23	278
4	0	196
4	1	102
4	2	56
4	3	39
4	4	39
4	5	49
4	6	136
4	7	240
4	8	332
4	9	289
4	10	259
4	11	282
4	12	265
4	13	291
4	14	268
4	15	298
4	16	229
4	17	264
4	18	369
4	19	394
4	20	384
4	21	357
4	22	372
4	23	352
5	0	303
5	1	178
5	2	95
5	3	81
5	4	72
5	5	59
5	6	140
5	7	233
5	8	305
5	9	276
5	10	270
5	11	255
5	12	323
5	13	278
5	14	282
5	15	274
5	16	272
5	17	284
5	18	346
5	19	409
5	20	379
5	21	337
5	22	356
5	23	315
6	0	387
6	1	342
6	2	270
6	3	192
6	4	120
6	5	70
6	6	63
6	7	83
6	8	157
6	9	211
6	10	286
6	11	275
6	12	284
6	13	301
6	14	295
6	15	305
6	16	275
6	17	314
6	18	350
6	19	382
6	20	301
6	21	332
6	22	354
6	23	373
7	0	324
7	1	323
7	2	255
7	3	211
7	4	145
7	5	62
7	6	58
7	7	74
7	8	112
7	9	174
7	10	226
7	11	280
7	12	282
7	13	267
7	14	292
7	15	282
7	16	259
7	17	273
7	18	313
7	19	309
7	20	271
7	21	268
7	22	257
7	23	153
