,day,hour,value
0,1,0,114
1,1,1,56
2,1,2,51
3,1,3,30
4,1,4,38
5,1,5,72
6,1,6,140
7,1,7,249
8,1,8,299
9,1,9,255
10,1,10,234
11,1,11,231
12,1,12,262
13,1,13,234
14,1,14,247
15,1,15,267
16,1,16,242
17,1,17,305
18,1,18,385
19,1,19,318
20,1,20,312
21,1,21,306
22,1,22,274
23,1,23,191
24,2,0,139
25,2,1,66
26,2,2,38
27,2,3,31
28,2,4,30
29,2,5,59
30,2,6,146
31,2,7,283
32,2,8,334
33,2,9,331
34,2,10,275
35,2,11,295
36,2,12,295
37,2,13,295
38,2,14,298
39,2,15,290
40,2,16,250
41,2,17,323
42,2,18,390
43,2,19,379
44,2,20,346
45,2,21,361
46,2,22,328
47,2,23,244
48,3,0,155
49,3,1,89
50,3,2,49
51,3,3,39
52,3,4,42
53,3,5,57
54,3,6,177
55,3,7,279
56,3,8,308
57,3,9,315
58,3,10,289
59,3,11,307
60,3,12,272
61,3,13,266
62,3,14,295
63,3,15,254
64,3,16,234
65,3,17,322
66,3,18,377
67,3,19,384
68,3,20,343
69,3,21,355
70,3,22,341
71,3,23,244
72,4,0,181
73,4,1,90
74,4,2,49
75,4,3,42
76,4,4,35
77,4,5,56
78,4,6,162
79,4,7,275
80,4,8,340
81,4,9,286
82,4,10,261
83,4,11,274
84,4,12,283
85,4,13,291
86,4,14,261
87,4,15,286
88,4,16,225
89,4,17,286
90,4,18,380
91,4,19,389
92,4,20,372
93,4,21,372
94,4,22,367
95,4,23,350
96,5,0,257
97,5,1,157
98,5,2,99
99,5,3,67
100,5,4,78
101,5,5,66
102,5,6,161
103,5,7,253
104,5,8,299
105,5,9,296
106,5,10,262
107,5,11,268
108,5,12,314
109,5,13,275
110,5,14,305
111,5,15,268
112,5,16,251
113,5,17,297
114,5,18,378
115,5,19,399
116,5,20,352
117,5,21,336
118,5,22,349
119,5,23,354
120,6,0,369
121,6,1,312
122,6,2,254
123,6,3,184
124,6,4,108
125,6,5,60
126,6,6,61
127,6,7,95
128,6,8,168
129,6,9,243
130,6,10,273
131,6,11,291
132,6,12,287
133,6,13,289
134,6,14,311
135,6,15,308
136,6,16,263
137,6,17,316
138,6,18,380
139,6,19,365
140,6,20,310
141,6,21,319
142,6,22,373
143,6,23,351
144,7,0,324
145,7,1,311
146,7,2,246
147,7,3,198
148,7,4,123
149,7,5,65
150,7,6,51
151,7,7,86
152,7,8,112
153,7,9,184
154,7,10,226
155,7,11,307
156,7,12,278
157,7,13,259
158,7,14,308
159,7,15,282
160,7,16,260
161,7,17,273
162,7,18,318
163,7,19,294
164,7,20,260
165,7,21,269
166,7,22,242
167,7,23,166
