day	hour	value
1	0	114
1	1	56
1	2	51
1	3	30
1	4	38
1	5	72
1	6	140
1	7	249
1	8	299
1	9	255
1	10	234
1	11	231
1	12	262
1	13	234
1	14	247
1	15	267
1	16	242
1	17	305
1	18	385
1	19	318
1	20	312
1	21	306
1	22	274
1	23	191
2	0	139
2	1	66
2	2	38
2	3	31
2	4	30
2	5	59
2	6	146
2	7	283
2	8	334
2	9	331
2	10	275
2	11	295
2	12	295
2	13	295
2	14	298
2	15	290
2	16	250
2	17	323
2	18	390
2	19	379
2	20	346
2	21	361
2	22	328
2	23	244
3	0	155
3	1	89
3	2	49
3	3	39
3	4	42
3	5	57
3	6	177
3	7	279
3	8	308
3	9	315
3	10	289
3	11	307
3	12	272
3	13	266
3	14	295
3	15	254
3	16	234
3	17	322
3	18	377
3	19	384
3	20	343
3	21	355
3	22	341
3	23	244
4	0	181
4	1	90
4	2	49
4	3	42
4	4	35
4	5	56
4	6	162
4	7	275
4	8	340
4	9	286
4	10	261
4	11	274
4	12	283
4	13	291
4	14	261
4	15	286
4	16	225
4	17	286
4	18	380
4	19	389
4	20	372
4	21	372
4	22	367
4	23	350
5	0	257
5	1	157
5	2	99
5	3	67
5	4	78
5	5	66
5	6	161
5	7	253
5	8	299
5	9	296
5	10	262
5	11	268
5	12	314
5	13	275
5	14	305
5	15	268
5	16	251
5	17	297
5	18	378
5	19	399
5	20	352
5	21	336
5	22	349
5	23	354
6	0	369
6	1	312
6	2	254
6	3	184
6	4	108
6	5	60
6	6	61
6	7	95
6	8	168
6	9	243
6	10	273
6	11	291
6	12	287
6	13	289
6	14	311
6	15	308
6	16	263
6	17	316
6	18	380
6	19	365
6	20	310
6	21	319
6	22	373
6	23	351
7	0	324
7	1	311
7	2	246
7	3	198
7	4	123
7	5	65
7	6	51
7	7	86
7	8	112
7	9	184
7	10	226
7	11	307
7	12	278
7	13	259
7	14	308
7	15	282
7	16	260
7	17	273
7	18	318
7	19	294
7	20	260
7	21	269
7	22	242
7	23	166
